Title,Description,Status,Priority,Labels,Project,Milestone,Parent,BlockedBy,Kind,CatalogId
[U1] Workspace skeleton and safety rails,"## Goal
A bun workspace that lints, typechecks, and runs tests with at most 2 workers, then exits. Secrets cannot be committed.

## Requirements
R18. JI-001, JI-040.

## Blocked by
None.

## Acceptance criteria
- [ ] `bun test` runs a trivial domain test and exits 0 (no watch mode; max 2 workers).
- [ ] A web file importing `packages/infra` / drizzle fails `check-layering`.
- [ ] Secret scan catches a clearly fake token fixture; `.env.example` lists names only.
- [ ] Fresh clone instructions in README install and test without extra global tools beyond bun.
- [ ] Done: lint, typecheck, tests exit; layering and secret scan exist.

## Kind
Implementation-ready Slice A unit. Keep this U-ID in the title.

## Links
- Plan: `docs/plans/2026-08-27-2022-feat-slice-a-read-path-plan.md`
- GitHub PR: https://github.com/RyanLisse/catapulze-job-intelligence/pull/4
- Backlog: `docs/IMPLEMENTATION_BACKLOG.md`
- Fasering: `docs/BUILD_BRIEF.md` §10
- Bronmatrix: `docs/SOURCE_MATRIX.md` (do **not** explode into per-source issues)
",Todo,High,slice-a,Job Intelligence,Slice A,SLICE-A,,build,U1
[U2] Postgres core model and migrations,"## Goal
Drizzle migrations create staging/curated/marts plus outbox and audit tables for BUILD_BRIEF operational entities needed in Slice A.

## Requirements
R2, R3, R6, R7, R19. JI-002, JI-DAT-02/03/06/07.

## Blocked by
U1.

## Acceptance criteria
- [ ] Migrate up on empty compose Postgres; required tables exist with FKs.
- [ ] Entities: `bron`, `scrape_run`, `source_record` (pointer+hash, not payload), `aanvraag_observation`, `aanvraag`, `aanvraag_versie`, `aanvraag_bron_link`, `dedup_groep`, `saved_search`, `query_snapshot`, `audit_event`, `outbox_event`, `agent_context` stub.
- [ ] Unique `(bron_id, bron_referentie)` and unique content hash per bron; inserting duplicates fails.
- [ ] `aanvraag` insert without `bron_id` fails NOT NULL.
- [ ] SCD2 helper writes a new version and closes `geldig_tot` on the previous in one transaction with an outbox row.
- [ ] No contact / candidate tables in Slice A.
- [ ] Done: migrations apply on empty Postgres; uniqueness and SCD2 tests pass. `drizzle-kit` history is reproducible from empty.

## Kind
Implementation-ready Slice A unit. Keep this U-ID in the title.

## Links
- Plan: `docs/plans/2026-08-27-2022-feat-slice-a-read-path-plan.md`
- GitHub PR: https://github.com/RyanLisse/catapulze-job-intelligence/pull/4
- Backlog: `docs/IMPLEMENTATION_BACKLOG.md`
- Fasering: `docs/BUILD_BRIEF.md` §10
- Bronmatrix: `docs/SOURCE_MATRIX.md` (do **not** explode into per-source issues)
",Todo,High,slice-a,Job Intelligence,Slice A,SLICE-A,U1,build,U2
[U3] Bronregister and connector contract,"## Goal
Bronnen are data. A connector can page, checkpoint, write minimised raw, and emit run metrics inside retention policy.

## Requirements
R4, R5, R6, R16, R18, R20. JI-003, JI-004, JI-BRN-04/06/07.

## Blocked by
U2.

## Acceptance criteria
- [ ] Bron row: method, interval, rate limit, crawl-delay, `voorwaarden_status`, `ready|blocked|deferred`, `secret_ref`, mapping document pointer.
- [ ] Contract: `discover`, `fetch`, `checkpoint`, `runMetrics`. Raw path `raw/{bron}/{yyyy}/{mm}/{dd}/{run}/{id}.{json|html|pdf}`.
- [ ] Creating a bron in `deferred` does not schedule polls.
- [ ] `voorwaarden_status=verboden` cannot transition to `ready`.
- [ ] `activeer_bron` blocked without passing test-import and allowed voorwaarden (JI-BRN-04).
- [ ] Missing `secret_ref` on a login method fails validation; json-api TenderNed does not require one.
- [ ] Fake connector writes an object and a source_record pointer in one run.
- [ ] Operator can list bronnen with status and last run without seeing secret values (AE8).
- [ ] Done: bron lifecycle honors voorwaarden and test-import gate.

## Kind
Implementation-ready Slice A unit. Keep this U-ID in the title.

## Links
- Plan: `docs/plans/2026-08-27-2022-feat-slice-a-read-path-plan.md`
- GitHub PR: https://github.com/RyanLisse/catapulze-job-intelligence/pull/4
- Backlog: `docs/IMPLEMENTATION_BACKLOG.md`
- Fasering: `docs/BUILD_BRIEF.md` §10
- Bronmatrix: `docs/SOURCE_MATRIX.md` (do **not** explode into per-source issues)
",Todo,High,slice-a,Job Intelligence,Slice A,SLICE-A,U2,build,U3
[U4] TenderNed and Inhuurdesk connectors,"## Goal
Two P0 connectors complete F2 against fixtures and a bounded live read.

## Requirements
R4, R5, R6, R7, R20. JI-006, JI-018, JI-051.

## Blocked by
U3, U1.

## Acceptance criteria
- [ ] AE2: saved TenderNed listing+detail fixture ingested twice → exactly one SourceRecord and one curated identity (identity asserted with U5).
- [ ] TenderNed mapping and poll window from `docs/sources/tenderned.md` (size ≤ 100, 15 min, CPV/IDA filters as config). Client never requests `size=101`.
- [ ] Inhuurdesk: listing JSON including HTML description; parse tarief from text only into structured fields when a single clear max amount exists; otherwise unknown (R3).
- [ ] Listing hash unchanged skips detail fetch.
- [ ] 5xx with retry/backoff then run status `failed` and metric increment; other bron still polls (KTD6 concurrency isolation).
- [ ] Run metrics include found/new/changed/rejected/error for both bronnen on fixture replay.
- [ ] CI uses fixtures. One documented live smoke outside CI (opt-in env).
- [ ] Done: fixture replay is idempotent for both connectors.

## Kind
Implementation-ready Slice A unit. Keep this U-ID in the title.

## Links
- Plan: `docs/plans/2026-08-27-2022-feat-slice-a-read-path-plan.md`
- GitHub PR: https://github.com/RyanLisse/catapulze-job-intelligence/pull/4
- Backlog: `docs/IMPLEMENTATION_BACKLOG.md`
- Fasering: `docs/BUILD_BRIEF.md` §10
- Bronmatrix: `docs/SOURCE_MATRIX.md` (do **not** explode into per-source issues)
",Backlog,High,slice-a,Job Intelligence,Slice A,SLICE-A,"U1, U3",build,U4
"[U5] Normalise, identity, lifecycle","## Goal
Staging observations become curated aanvragen with provenance, reversible links, and lifecycle.

## Requirements
R3, R6, R7, R19. JI-008, JI-009, JI-050.

## Blocked by
U2, U3.

## Acceptance criteria
- [ ] AE6: unstructured tarief → `tarief_*` is `unknown` and the phrase stays in beschrijving.
- [ ] Field provenance map: canonical field → source path + parser version.
- [ ] Exact identity `(bron_id, bron_referentie)`. Two bronnen same title/org/start → one reviewable group, two aanvraag rows, reversible split. No auto-merge.
- [ ] Schema-invalid observation quarantined; not searchable.
- [ ] Tarief change opens SCD2 version and outbox `aanvraag.gewijzigd`.
- [ ] Stale after N missed polls (N in bron config, default 3). Lifecycle `active|stale|closed|unknown` is traceable.
- [ ] Replay of U4 fixtures yields stable IDs and zero duplicate curated identities.
- [ ] Done: unknown fields, reversible groups, lifecycle tests pass.

## Kind
Implementation-ready Slice A unit. Keep this U-ID in the title.

## Links
- Plan: `docs/plans/2026-08-27-2022-feat-slice-a-read-path-plan.md`
- GitHub PR: https://github.com/RyanLisse/catapulze-job-intelligence/pull/4
- Backlog: `docs/IMPLEMENTATION_BACKLOG.md`
- Fasering: `docs/BUILD_BRIEF.md` §10
- Bronmatrix: `docs/SOURCE_MATRIX.md` (do **not** explode into per-source issues)
",Backlog,High,slice-a,Job Intelligence,Slice A,SLICE-A,"U2, U3",build,U5
"[U6] Boolean parser, SearchAdapter, Manticore","## Goal
Documented Boolean search over titel+beschrijving with filters/facets, p95 gate wiring, Postgres never the query dialect.

## Requirements
R8, R9, R10, R11. JI-010, JI-011, JI-012, JI-016.

## Blocked by
U2, U5.

## Acceptance criteria
- [ ] AE1: parser version V, query `(Azure OR ""platform engineer"") NOT intern` runs twice → hit IDs match; fixture asserts precedence. Also unclosed paren, empty AND, nested NOT.
- [ ] Invalid syntax returns structured error, no engine call.
- [ ] Empty index returns count 0 and empty facets with reason.
- [ ] Emitter to Manticore MATCH / bool JSON; filters as attributes. UI never embeds SphinxQL.
- [ ] Projector consumes outbox and RT-upserts; delete/close updates status attribute. Projector must not rewrite QuerySnapshots.
- [ ] After outbox event, search finds the new id.
- [ ] Adapter tests do not import drizzle. Postgres FTS exists only as rebuild/fallback adapter.
- [ ] Versioned benchmark profile `benchmarks/search/profile.json` exists; p95 ≤ 100 ms at SearchAdapter or explicit fail in review pack.
- [ ] Done: Boolean fixtures pass; adapter has no drizzle import; projector updates RT.

## Kind
Implementation-ready Slice A unit. Keep this U-ID in the title.

## Links
- Plan: `docs/plans/2026-08-27-2022-feat-slice-a-read-path-plan.md`
- GitHub PR: https://github.com/RyanLisse/catapulze-job-intelligence/pull/4
- Backlog: `docs/IMPLEMENTATION_BACKLOG.md`
- Fasering: `docs/BUILD_BRIEF.md` §10
- Bronmatrix: `docs/SOURCE_MATRIX.md` (do **not** explode into per-source issues)
",Backlog,High,slice-a,Job Intelligence,Slice A,SLICE-A,"U2, U5",build,U6
"[U7] Capability registry, REST, and MCP","## Goal
F5 and F7 handlers exist behind REST and MCP from one registry. No recruiter chrome yet.

## Requirements
R12, R13, R14, R15. JI-014, JI-015, JI-041, JI-042.

## Blocked by
U6, U3.

## Acceptance criteria
- [ ] AE4: snapshot S of 17 IDs stays those 17 IDs after a later ingest adds a matching aanvraag.
- [ ] AE5: same arguments on REST and MCP `search_aanvragen` yield matching IDs, count, and facets (UI compared in U9).
- [ ] Slice A capabilities exist: `search_aanvragen`, `get_aanvraag`, `list_versies`, `read_raw` (preview/full), `list_bronnen`, `get_bron`, `create_saved_search`, `create_snapshot`, `markeer_aanvraag`, `list_alerts`, `get_bron_health`, `ack_alert`, `start_run`/`start_test_import` (operator), `complete_task` stub.
- [ ] Preview default on get/raw. `full: true` without recruiter role denied.
- [ ] Unauthenticated MCP tool call denied; authz is per call.
- [ ] Saved search stores parser/schema version. Snapshot freeze per R12. No Spott write path is callable.
- [ ] `check-capability-coverage` and `check-capability-registry` fail a PR that adds a UI action without MCP+REST wiring.
- [ ] Markeren writes one audit+outbox event.
- [ ] Done: AE4–AE5 (HTTP/MCP) pass; coverage scripts pass.

## Kind
Implementation-ready Slice A unit. Keep this U-ID in the title.

## Links
- Plan: `docs/plans/2026-08-27-2022-feat-slice-a-read-path-plan.md`
- GitHub PR: https://github.com/RyanLisse/catapulze-job-intelligence/pull/4
- Backlog: `docs/IMPLEMENTATION_BACKLOG.md`
- Fasering: `docs/BUILD_BRIEF.md` §10
- Bronmatrix: `docs/SOURCE_MATRIX.md` (do **not** explode into per-source issues)
",Backlog,High,slice-a,Job Intelligence,Slice A,SLICE-A,"U3, U6",build,U7
[U9] Lean search UI,"## Goal
F1 for recruiter: query, filters, count, pagination, detail provenance, saved search, snapshot CTA. No Spott write control.

## Requirements
R1, R8, R9, R10, R14. JI-013.

## Blocked by
U7.

## Acceptance criteria
- [ ] AE3: search hit → detail shows bron, bron_referentie, scrape_run_id, normalisatieversie, and raw preview.
- [ ] AE5: same arguments in UI and MCP yield equal IDs; markeren from UI is visible to MCP get.
- [ ] UI calls REST only. No drizzle, no Manticore client.
- [ ] States: loading, empty, syntax error, engine error. Empty result set shows empty state, not a table of zeros.
- [ ] Boolean syntax error from API renders the parser message.
- [ ] Shareable URL holds term, filters, sort, page. Result count visible. Pagination stable.
- [ ] Snapshot button creates QuerySnapshot. **No export button.**
- [ ] Recruiter can complete F1 without opening MCP. Coverage script still passes.
- [ ] Done: AE3 and AE5 (UI) pass; no export control rendered.

## Kind
Implementation-ready Slice A unit. Keep this U-ID in the title.

## Links
- Plan: `docs/plans/2026-08-27-2022-feat-slice-a-read-path-plan.md`
- GitHub PR: https://github.com/RyanLisse/catapulze-job-intelligence/pull/4
- Backlog: `docs/IMPLEMENTATION_BACKLOG.md`
- Fasering: `docs/BUILD_BRIEF.md` §10
- Bronmatrix: `docs/SOURCE_MATRIX.md` (do **not** explode into per-source issues)
",Backlog,High,slice-a,Job Intelligence,Slice A,SLICE-A,U7,build,U9
"[U8] Observability, Motian-Neon read-only backfill, e2e, review pack","## Goal
F4 and F6 work. Slice A can be evidenced without claiming production-all-sources.

## Requirements
R16, R17, SC1, SC5. JI-005, JI-030, JI-031, JI-052, JI-054, JI-MIG-01/02/05.

## Blocked by
U4, U5, U6, U7. May proceed in parallel with U9 after U7.

## Acceptance criteria
- [ ] AE7: connector 200 with zero new/changed vs a 7-day baseline drop past threshold → one silence event; a second identical event is deduped. Event contains bron, detectietijd, laatste succes, drempel, evidence, eigenaar, runbook, dedupe key.
- [ ] Legacy jobs are imported read-only from Motian-Neon with `v1_id` provenance into the new on-box Postgres. Catapulze never writes to Motian-Neon; recruitment tables are not imported (JI-MIG-05).
- [ ] Backfill duplicate v1_id is idempotent. Unreachable source → failed run, no partial curated without raw pointer.
- [ ] E2E: fixture bron → raw → normalise → search → snapshot (`tests/e2e/read-path.spec.ts`).
- [ ] Review pack template filled once: SHA, env, bron runs, reconciliation, golden queries, latency, open Gate-0 items. No Spott sandbox required.
- [ ] Done: e2e read-path green; silence event shape tested; review template filled once.

## Kind
Implementation-ready Slice A unit. Keep this U-ID in the title.

## Links
- Plan: `docs/plans/2026-08-27-2022-feat-slice-a-read-path-plan.md`
- GitHub PR: https://github.com/RyanLisse/catapulze-job-intelligence/pull/4
- Backlog: `docs/IMPLEMENTATION_BACKLOG.md`
- Fasering: `docs/BUILD_BRIEF.md` §10
- Bronmatrix: `docs/SOURCE_MATRIX.md` (do **not** explode into per-source issues)
",Backlog,High,slice-a,Job Intelligence,Slice A,SLICE-A,"U4, U5, U6, U7",build,U8
[U10] On-box Postgres production hardening,"## Goal
Close the P0 production database gate without treating Compose configuration or a successful backup upload as recovery evidence.

## Requirements
R21, SC6. DEC-005, JI-037.

## Blocked by
U2. May proceed in parallel with the remaining Slice A units, but production readiness remains blocked until U10 is complete.

## Acceptance criteria
- [ ] Admin, migrator, and runtime app use distinct credentials. Migrator and app are non-superuser; the app cannot create schemas, roles, or databases and receives only the required schema usage plus DML privileges.
- [ ] The Postgres data directory uses a protected external volume; production automation never invokes `docker compose down -v`.
- [ ] Port 5432 is private and an external network probe proves it is unreachable from the public internet.
- [ ] WAL is archived continuously to encrypted off-site storage with explicit retention and alerts for lag or failure.
- [ ] AE9: the latest accepted base backup plus WAL restores into an empty isolated Postgres 16 target; migration journal and integrity checks pass; recovery point, duration, environment, and commit SHA are recorded.
- [ ] Availability, disk, WAL/back-up lag, connections, locks, query latency, CPU, and memory are monitored with tested alert routing.
- [ ] Resource limits give Postgres priority over rebuildable Manticore; HA need or measured contention threatening the DB SLO triggers a move to a separate DB host or managed PostgreSQL.
- [ ] Done: current private-port, protected-volume, monitoring/resource-alert, continuous-WAL, and isolated-restore evidence is attached to the release pack.

## Kind
Implementation-ready Slice A unit. Keep this U-ID in the title.

## Links
- Plan: `docs/plans/2026-08-27-2022-feat-slice-a-read-path-plan.md`
- GitHub PR: https://github.com/RyanLisse/catapulze-job-intelligence/pull/4
- Backlog: `docs/IMPLEMENTATION_BACKLOG.md`
- Fasering: `docs/BUILD_BRIEF.md` §10
- Bronmatrix: `docs/SOURCE_MATRIX.md` (do **not** explode into per-source issues)
",Backlog,High,slice-a,Job Intelligence,Slice A,SLICE-A,U2,build,U10
[Slice B] Controlled Spott.io export,"## Goal
Roadmap container for controlled Spott.io export after human approval bound to an immutable QuerySnapshot.

## Status
**Placeholder epic.** Blocked on **DEC-006**. Do not fully spec write payloads, standing approval policy, or sandbox e2e here.

## Children (placeholders only)
- API/MCP spike
- Snapshot-bound approval
- Idempotent export
- Receipts

## Out of this epic (intentionally not issued)
Standing `approval_policy` score mode, bounded retries/DLQ, scheduled export (a schedule may only create a pending snapshot), JI-053 sandbox e2e.

## Blocked by
DEC-006 (vendor, URL, API, sandbox, write scope, unique ID).

## Links
- Plan: `docs/plans/2026-08-27-2022-feat-slice-a-read-path-plan.md`
- GitHub PR: https://github.com/RyanLisse/catapulze-job-intelligence/pull/4
- Backlog: `docs/IMPLEMENTATION_BACKLOG.md`
- Fasering: `docs/BUILD_BRIEF.md` §10
- Bronmatrix: `docs/SOURCE_MATRIX.md` (do **not** explode into per-source issues)",Backlog,Medium,"slice-b, blocked",Job Intelligence,Slice B,,DEC-006,epic,SLICE-B
[Slice B] API/MCP spike for Spott.io,"## Goal
Verify the real Spott.io API/MCP with a minimal sandbox read once DEC-006 names the vendor contract.

## Status
**Placeholder** for Slice B. Not implementation-ready. Expand into a full unit only after the parent slice is scheduled and blockers close.

## Maps to
JI-020

## Notes
Placeholder only. Do not spec write payloads, scopes, or ID strategy until DEC-006. Acceptance later: official contract version, scopes, rate limits, and ID strategy are proven in sandbox.

## Blocked by
See Linear blocked-by relations on this issue (DEC-006 for all Slice B work).

## Links
- Plan: `docs/plans/2026-08-27-2022-feat-slice-a-read-path-plan.md`
- GitHub PR: https://github.com/RyanLisse/catapulze-job-intelligence/pull/4
- Backlog: `docs/IMPLEMENTATION_BACKLOG.md`
- Fasering: `docs/BUILD_BRIEF.md` §10
- Bronmatrix: `docs/SOURCE_MATRIX.md` (do **not** explode into per-source issues)",Backlog,Medium,"slice-b, blocked",Job Intelligence,Slice B,SLICE-B,DEC-006,placeholder,SB-API
